period,gdp
2006-10-01,83.2783043987645
2007-01-01,83.9280008520609
2007-04-01,85.0729577164767
2007-07-01,85.9392196542053
2007-10-01,86.3528242269322
2008-01-01,85.9019419888522
2008-04-01,84.6487023822203
2008-07-01,84.7871622821032
2008-10-01,84.746334362907
2009-01-01,84.0274079596691
2009-04-01,85.0569815741826
2009-07-01,85.5398160968509
2009-10-01,86.6350694074626
2010-01-01,87.6007384527994
2010-04-01,88.0622714524088
2010-07-01,86.7806298150318
2010-10-01,85.8380374196755
2011-01-01,87.2918663684454
2011-04-01,88.0959988639188
2011-07-01,89.1273476053538
2011-10-01,89.856924770121
2012-01-01,89.9900592892392
2012-04-01,90.5456740156921
2012-07-01,91.064011076792
2012-10-01,92.1184364682075
2013-01-01,92.6243476408563
2013-04-01,92.320800937267
